metodo,sample_idx,pointing_game,sparseness,pg@3
Integrated Gradients,6224,1,0.9572358427271215,1
Integrated Gradients,1584,1,0.9331598741549008,1
Integrated Gradients,5881,1,0.9229281477626237,1
Integrated Gradients,5635,1,0.8765843242490088,1
Integrated Gradients,9891,1,0.9384402091148343,1
Integrated Gradients,4333,1,0.9185532908066247,1
Integrated Gradients,711,1,0.8956671012544015,1
Integrated Gradients,7527,1,0.9413758247484312,1
Integrated Gradients,8785,1,0.9020999871983353,1
Integrated Gradients,2045,1,0.8921016708865361,1
Integrated Gradients,6201,1,0.8936203186886091,1
Integrated Gradients,1291,1,0.9011514169331194,1
Integrated Gradients,9044,1,0.9136407584508723,1
Integrated Gradients,4803,1,0.9258489224743742,1
Integrated Gradients,5925,1,0.9286130792879421,1
Integrated Gradients,9459,1,0.8870775599905212,1
Integrated Gradients,3150,1,0.9135073998024787,1
Integrated Gradients,1139,1,0.9364707906092327,1
Integrated Gradients,750,1,0.9281837920625877,1
Integrated Gradients,3733,1,0.9581575221406022,1
Integrated Gradients,4741,1,0.9212163260828921,1
Integrated Gradients,1307,1,0.9308336435825573,1
Integrated Gradients,3814,1,0.9278288146268046,1
Integrated Gradients,1654,1,0.9095179916538574,1
Integrated Gradients,6227,1,0.8932730728659244,1
Integrated Gradients,4554,1,0.8738327603694078,1
Integrated Gradients,7428,1,0.9049769575391462,1
Integrated Gradients,5977,1,0.891483222867512,1
Integrated Gradients,2664,1,0.8664123899350558,1
Integrated Gradients,6065,1,0.834675678274869,1
Integrated Gradients,5820,1,0.9033139029130821,1
Integrated Gradients,3432,1,0.9359415570765741,1
Integrated Gradients,4374,1,0.881350949212437,1
Integrated Gradients,1169,1,0.9124744899482697,1
Integrated Gradients,9980,1,0.8554844914056008,1
Integrated Gradients,2803,1,0.945079079701659,1
Integrated Gradients,8751,1,0.9015976164795401,1
Integrated Gradients,4010,1,0.9632916716605122,1
Integrated Gradients,2677,1,0.9204998315444526,1
Integrated Gradients,7573,1,0.9311716747473122,1
Integrated Gradients,6216,1,0.9050845822076414,1
